age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level,anxiety_level,addiction_level,sleep_deficit,digital_overload,night_risk,mental_pressure,isolation_score,addiction_impact,lifestyle_imbalance
15,0,2.3,1,5.6,2.9,2.72,1.0,0,6,6,2,2.4000000000000004,5.199999999999999,6.960000000000001,12,0.0,5.8,4.199999999999999
17,0,2.2,0,7.2,0.5,2.38,1.2,1,10,4,8,0.7999999999999998,2.7,0.3999999999999999,14,2.7,4.0,1.5000000000000002
16,0,7.6,2,7.6,2.4,2.24,1.1,1,1,5,5,0.40000000000000036,10.0,0.9600000000000009,6,10.0,12.0,8.9
17,1,7.2,2,8.8,2.5,3.97,1.9,2,1,3,9,0.0,9.7,0.0,4,19.4,22.5,7.799999999999999
16,1,7.2,0,6.9,2.1,2.32,1.1,2,3,4,10,1.0999999999999996,9.3,2.309999999999999,7,18.6,21.0,8.200000000000001
15,1,3.4,0,8.0,1.0,2.31,1.0,0,4,7,6,0.0,4.4,0.0,11,0.0,6.0,3.4000000000000004
18,0,3.8,0,4.5,1.3,3.06,0.3,1,7,8,1,3.5,5.1,4.55,15,5.1,1.3,4.8
17,0,2.9,0,7.5,1.4,3.42,1.7,2,5,6,3,0.5,4.3,0.7,11,8.6,4.199999999999999,2.5999999999999996
18,1,3.1,1,5.7,2.9,3.1,0.6,1,9,4,2,2.3,6.0,6.669999999999999,13,6.0,5.8,5.4
17,0,7.5,2,5.4,2.3,3.44,0.4,1,7,9,7,2.5999999999999996,9.8,5.979999999999999,16,9.8,16.099999999999998,9.4
18,0,8.0,2,4.3,0.8,3.44,0.8,1,3,4,4,3.7,8.8,2.9600000000000004,7,8.8,3.2,8.0
15,0,3.1,2,4.2,2.4,3.41,0.2,2,3,7,5,3.8,5.5,9.12,10,11.0,12.0,5.3
16,0,5.2,2,8.1,2.1,2.67,1.7,1,9,10,10,0.0,7.300000000000001,0.0,19,7.300000000000001,21.0,5.6000000000000005
16,1,7.9,2,8.0,1.6,3.47,1.5,0,3,5,6,0.0,9.5,0.0,8,0.0,9.600000000000001,8.0
14,1,2.5,2,5.6,2.9,2.24,0.5,2,3,9,5,2.4000000000000004,5.4,6.960000000000001,12,10.8,14.5,4.9
13,1,2.1,1,4.1,1.6,2.12,1.8,0,10,9,6,3.9000000000000004,3.7,6.240000000000001,19,0.0,9.600000000000001,1.9000000000000001
18,0,1.8,0,7.8,2.0,2.67,0.8,2,4,6,3,0.20000000000000018,3.8,0.40000000000000036,10,7.6,6.0,3.0
17,0,5.5,0,6.0,2.8,3.4,0.0,1,2,3,8,2.0,8.3,5.6,5,8.3,22.4,8.3
18,1,1.8,0,4.9,2.7,2.12,0.2,2,1,3,8,3.0999999999999996,4.5,8.37,4,9.0,21.6,4.3
19,1,6.0,0,5.6,1.1,2.43,1.7,1,1,3,3,2.4000000000000004,7.1,2.6400000000000006,4,7.1,3.3000000000000003,5.3999999999999995
14,0,1.8,1,7.6,1.2,2.84,1.1,0,10,1,3,0.40000000000000036,3.0,0.4800000000000004,11,0.0,3.5999999999999996,1.9
17,1,2.7,1,7.5,1.5,3.23,1.4,2,5,7,3,0.5,4.2,0.75,12,8.4,4.5,2.8000000000000003
16,1,2.0,2,7.8,0.5,2.81,1.4,0,10,2,4,0.20000000000000018,2.5,0.10000000000000009,12,0.0,2.0,1.1
17,0,3.4,0,4.7,0.5,2.91,2.0,0,2,8,1,3.3,3.9,1.65,10,0.0,0.5,1.9
15,1,6.2,1,8.1,2.3,3.46,1.3,2,5,4,9,0.0,8.5,0.0,9,17.0,20.7,7.2
18,0,2.4,0,6.7,1.9,2.53,0.4,0,8,8,2,1.2999999999999998,4.3,2.4699999999999998,16,0.0,3.8,3.9
13,1,7.0,2,4.4,0.9,3.67,0.4,2,5,3,6,3.5999999999999996,7.9,3.2399999999999998,8,15.8,5.4,7.5
13,1,7.0,0,5.7,1.6,3.45,1.2,1,7,1,10,2.3,8.6,3.6799999999999997,8,8.6,16.0,7.3999999999999995
16,1,7.3,2,7.0,2.2,2.07,1.0,1,3,7,1,1.0,9.5,2.2,10,9.5,2.2,8.5
18,1,2.2,0,4.5,2.0,2.49,0.8,0,1,7,6,3.5,4.2,7.0,8,0.0,12.0,3.4000000000000004
19,0,3.6,0,5.6,1.7,3.57,1.5,2,10,4,3,2.4000000000000004,5.3,4.08,14,10.6,5.1,3.8
18,1,5.0,1,4.3,1.1,2.22,0.1,0,7,2,2,3.7,6.1,4.07,9,0.0,2.2,6.0
16,1,1.8,1,4.9,2.3,2.67,1.4,1,3,8,6,3.0999999999999996,4.1,7.129999999999999,11,4.1,13.799999999999999,2.6999999999999997
16,1,5.3,2,8.4,2.2,2.81,0.6,0,2,8,8,0.0,7.5,0.0,10,0.0,17.6,6.9
15,1,7.3,0,4.8,2.6,3.81,1.5,2,4,7,4,3.2,9.9,8.32,11,19.8,10.4,8.4
13,0,3.5,1,5.3,2.7,3.7,0.5,2,3,7,2,2.7,6.2,7.290000000000001,10,12.4,5.4,5.7
16,1,6.6,1,5.6,0.8,3.48,1.7,1,4,3,4,2.4000000000000004,7.3999999999999995,1.9200000000000004,7,7.3999999999999995,3.2,5.699999999999999
18,0,2.5,2,7.1,1.6,3.97,0.7,1,10,7,3,0.9000000000000004,4.1,1.4400000000000006,17,4.1,4.800000000000001,3.3999999999999995
14,0,4.7,2,4.4,2.1,3.92,0.9,2,10,1,4,3.5999999999999996,6.800000000000001,7.56,11,13.600000000000001,8.4,5.9
17,1,4.8,2,5.6,1.6,2.0,1.3,2,3,8,4,2.4000000000000004,6.4,3.8400000000000007,11,12.8,6.4,5.1000000000000005
13,1,7.9,1,7.1,0.7,2.8,0.3,1,6,8,8,0.9000000000000004,8.6,0.6300000000000002,14,8.6,5.6,8.299999999999999
13,1,3.2,2,5.1,1.6,2.87,1.8,1,4,9,8,2.9000000000000004,4.800000000000001,4.640000000000001,13,4.800000000000001,12.8,3.000000000000001
17,1,7.3,0,8.5,1.5,3.54,1.2,2,3,3,7,0.0,8.8,0.0,6,17.6,10.5,7.6000000000000005
13,1,2.7,0,6.9,1.4,2.87,1.5,2,2,6,3,1.0999999999999996,4.1,1.5399999999999994,8,8.2,4.199999999999999,2.5999999999999996
14,1,5.0,2,5.2,0.5,3.55,0.4,2,10,6,8,2.8,5.5,1.4,16,11.0,4.0,5.1
18,0,4.0,1,4.6,2.2,3.7,0.6,1,4,1,4,3.4000000000000004,6.2,7.480000000000001,5,6.2,8.8,5.6000000000000005
17,1,7.2,1,8.0,1.9,2.66,1.4,1,5,8,6,0.0,9.1,0.0,13,9.1,11.399999999999999,7.699999999999999
16,1,6.9,1,6.8,1.1,3.33,1.0,1,7,9,4,1.2000000000000002,8.0,1.3200000000000003,16,8.0,4.4,7.0
14,1,4.4,1,8.8,2.3,2.73,0.3,1,9,2,2,0.0,6.7,0.0,11,6.7,4.6,6.4
17,0,3.9,1,8.2,1.3,3.21,1.8,1,3,7,7,0.0,5.2,0.0,10,5.2,9.1,3.4000000000000004
17,1,1.5,0,8.0,0.5,3.01,0.4,1,10,2,3,0.0,2.0,0.0,12,2.0,1.5,1.6
15,0,2.8,1,7.7,1.0,3.73,0.5,1,6,10,1,0.2999999999999998,3.8,0.2999999999999998,16,3.8,1.0,3.3
15,0,5.7,1,6.1,0.7,3.08,0.6,1,5,9,7,1.9000000000000004,6.4,1.33,14,6.4,4.8999999999999995,5.800000000000001
18,0,4.5,0,7.9,1.4,2.38,0.1,0,7,9,1,0.09999999999999964,5.9,0.13999999999999949,16,0.0,1.4,5.800000000000001
15,1,1.9,2,5.8,2.3,2.47,0.3,0,10,9,4,2.2,4.199999999999999,5.06,19,0.0,9.2,3.8999999999999995
16,0,7.4,2,5.5,1.8,2.13,0.3,0,7,9,9,2.5,9.200000000000001,4.5,16,0.0,16.2,8.9
17,1,2.5,0,6.7,2.0,2.56,1.7,0,5,7,5,1.2999999999999998,4.5,2.5999999999999996,12,0.0,10.0,2.8
19,1,5.3,1,6.7,0.7,3.59,1.8,0,4,8,8,1.2999999999999998,6.0,0.9099999999999998,12,0.0,5.6,4.2
16,1,7.9,1,8.7,2.5,2.29,0.7,0,7,7,4,0.0,10.4,0.0,14,0.0,10.0,9.700000000000001
17,0,1.1,2,6.8,0.6,2.28,1.6,1,9,3,7,1.2000000000000002,1.7000000000000002,0.7200000000000001,12,1.7000000000000002,4.2,0.10000000000000009
16,0,2.1,1,4.8,1.3,2.29,1.8,0,6,9,2,3.2,3.4000000000000004,4.16,15,0.0,2.6,1.6000000000000003
15,0,5.7,1,7.2,2.4,2.18,1.6,1,5,1,7,0.7999999999999998,8.1,1.9199999999999995,6,8.1,16.8,6.5
18,1,4.5,2,4.1,1.9,3.42,0.1,1,6,7,8,3.9000000000000004,6.4,7.41,13,6.4,15.2,6.300000000000001
14,1,2.7,1,8.4,1.3,2.01,0.6,2,6,3,8,0.0,4.0,0.0,9,8.0,10.4,3.4
19,1,6.8,1,8.4,2.1,3.15,2.0,1,4,10,1,0.0,8.9,0.0,14,8.9,2.1,6.9
19,1,5.3,2,8.4,0.6,3.08,0.4,1,9,4,6,0.0,5.8999999999999995,0.0,13,5.8999999999999995,3.5999999999999996,5.499999999999999
16,0,1.0,0,4.1,1.3,2.22,0.4,2,2,1,8,3.9000000000000004,2.3,5.07,3,4.6,10.4,1.9
14,1,7.6,1,5.8,1.9,3.49,1.7,0,10,1,3,2.2,9.5,4.18,11,0.0,5.699999999999999,7.8
19,0,4.0,2,6.5,2.4,3.67,0.6,2,4,6,4,1.5,6.4,3.5999999999999996,10,12.8,9.6,5.800000000000001
13,1,7.8,1,5.0,1.8,3.57,1.5,1,8,10,3,3.0,9.6,5.4,18,9.6,5.4,8.1
13,0,1.5,0,7.2,2.5,2.15,1.3,1,4,6,2,0.7999999999999998,4.0,1.9999999999999996,10,4.0,5.0,2.7
16,1,7.0,2,7.4,2.6,2.92,1.0,1,10,6,3,0.5999999999999996,9.6,1.5599999999999992,16,9.6,7.800000000000001,8.6
19,1,2.1,2,5.2,2.5,3.1,0.3,2,9,9,3,2.8,4.6,7.0,18,9.2,7.5,4.3
16,1,7.6,2,4.3,2.7,2.51,0.3,1,3,9,10,3.7,10.3,9.990000000000002,12,10.3,27.0,10.0
17,1,2.4,2,8.5,2.4,2.79,1.1,2,1,6,7,0.0,4.8,0.0,7,9.6,16.8,3.6999999999999997
15,0,7.9,2,4.7,1.5,3.3,0.0,2,5,8,5,3.3,9.4,4.949999999999999,13,18.8,7.5,9.4
19,0,7.6,0,5.4,1.9,2.56,1.4,2,2,7,9,2.5999999999999996,9.5,4.9399999999999995,9,19.0,17.099999999999998,8.1
13,1,3.5,2,5.8,1.2,2.44,1.5,1,4,1,8,2.2,4.7,2.64,5,4.7,9.6,3.2
14,1,2.1,2,5.0,1.4,2.96,1.1,2,7,1,9,3.0,3.5,4.199999999999999,8,7.0,12.6,2.4
13,0,7.8,1,7.4,1.7,2.76,1.1,2,10,1,4,0.5999999999999996,9.5,1.0199999999999994,11,19.0,6.8,8.4
16,0,2.6,2,8.8,1.7,2.39,1.0,1,5,2,6,0.0,4.3,0.0,7,4.3,10.2,3.3
15,1,7.4,0,5.9,2.6,2.89,1.9,1,7,3,8,2.0999999999999996,10.0,5.459999999999999,10,10.0,20.8,8.1
18,1,2.0,2,8.4,1.5,2.83,1.2,2,9,4,5,0.0,3.5,0.0,13,7.0,7.5,2.3
16,0,3.4,1,5.3,1.8,3.33,0.3,2,9,2,4,2.7,5.2,4.86,11,10.4,7.2,4.9
16,0,7.5,0,4.0,0.5,3.72,1.1,1,4,5,7,4.0,8.0,2.0,9,8.0,3.5,6.9
18,0,7.0,0,8.9,0.7,2.79,0.4,1,2,10,8,0.0,7.7,0.0,12,7.7,5.6,7.3
15,0,4.6,0,8.6,2.0,3.01,0.0,2,1,8,3,0.0,6.6,0.0,9,13.2,6.0,6.6
18,0,5.5,0,8.2,0.5,3.15,1.2,1,8,7,7,0.0,6.0,0.0,15,6.0,3.5,4.8
15,1,2.3,0,7.8,3.0,2.3,1.4,1,4,9,10,0.20000000000000018,5.3,0.6000000000000005,13,5.3,30.0,3.9
13,0,1.2,2,8.0,2.8,2.18,1.1,0,5,8,5,0.0,4.0,0.0,13,0.0,14.0,2.9
14,1,5.3,0,9.0,2.8,3.1,1.6,0,10,7,6,0.0,8.1,0.0,17,0.0,16.799999999999997,6.5
13,1,5.9,1,7.5,1.4,2.58,1.2,2,6,2,8,0.5,7.300000000000001,0.7,8,14.600000000000001,11.2,6.1000000000000005
14,1,4.9,1,5.5,1.6,2.85,0.4,2,8,1,8,2.5,6.5,4.0,9,13.0,12.8,6.1
19,0,7.9,1,5.7,2.4,3.59,1.9,0,1,9,9,2.3,10.3,5.52,10,0.0,21.599999999999998,8.4
18,0,6.3,2,4.8,1.2,2.91,1.3,1,9,10,3,3.2,7.5,3.84,19,7.5,3.5999999999999996,6.2
15,0,4.8,2,7.3,1.9,2.76,0.9,0,2,10,1,0.7000000000000002,6.699999999999999,1.3300000000000003,12,0.0,1.9,5.799999999999999
13,1,4.3,1,4.4,0.7,3.19,0.3,2,6,2,6,3.5999999999999996,5.0,2.5199999999999996,8,10.0,4.199999999999999,4.7
19,1,1.8,1,6.5,2.6,2.75,1.7,0,7,6,1,1.5,4.4,3.9000000000000004,13,0.0,2.6,2.7
19,0,2.8,1,5.9,1.5,2.85,0.6,0,10,9,4,2.0999999999999996,4.3,3.1499999999999995,19,0.0,6.0,3.6999999999999997
16,0,3.6,0,4.4,2.4,2.53,0.7,1,1,7,5,3.5999999999999996,6.0,8.639999999999999,8,6.0,12.0,5.3
15,0,2.7,2,7.6,2.5,2.37,1.9,0,1,8,7,0.40000000000000036,5.2,1.0000000000000009,9,0.0,17.5,3.3000000000000003
18,0,4.6,2,7.3,2.8,3.22,0.6,0,1,3,6,0.7000000000000002,7.3999999999999995,1.9600000000000004,4,0.0,16.799999999999997,6.8
19,1,7.7,2,8.4,2.8,3.43,0.2,1,7,6,6,0.0,10.5,0.0,13,10.5,16.799999999999997,10.3
15,0,7.3,0,7.6,1.9,2.31,0.8,1,8,7,5,0.40000000000000036,9.2,0.7600000000000007,15,9.2,9.5,8.399999999999999
15,1,7.7,1,8.0,1.3,3.78,1.1,1,1,6,5,0.0,9.0,0.0,7,9.0,6.5,7.9
17,0,2.8,0,6.2,2.4,2.58,0.4,0,4,10,9,1.7999999999999998,5.199999999999999,4.319999999999999,14,0.0,21.599999999999998,4.799999999999999
15,0,3.9,1,6.4,1.7,2.87,1.8,0,6,6,6,1.5999999999999996,5.6,2.7199999999999993,12,0.0,10.2,3.8
15,1,6.2,2,6.3,1.7,2.26,1.1,0,9,6,2,1.7000000000000002,7.9,2.89,15,0.0,3.4,6.800000000000001
17,1,4.4,0,8.2,2.7,3.13,0.3,1,3,1,2,0.0,7.1000000000000005,0.0,4,7.1000000000000005,5.4,6.800000000000001
13,1,5.4,1,6.5,0.8,3.17,0.3,1,10,3,3,1.5,6.2,1.2000000000000002,13,6.2,2.4000000000000004,5.9
15,0,3.8,1,4.4,1.9,2.04,0.5,1,4,9,7,3.5999999999999996,5.699999999999999,6.839999999999999,13,5.699999999999999,13.299999999999999,5.199999999999999
13,1,1.3,1,5.7,1.1,3.74,1.3,2,9,5,10,2.3,2.4000000000000004,2.53,14,4.800000000000001,11.0,1.1000000000000003
18,1,1.8,2,5.2,1.4,2.68,0.1,0,6,2,10,2.8,3.2,3.9199999999999995,8,0.0,14.0,3.1
17,0,5.6,1,5.3,1.7,2.77,0.9,1,8,4,8,2.7,7.3,4.59,12,7.3,13.6,6.3999999999999995
13,0,3.0,1,7.0,0.9,2.73,1.7,0,5,6,9,1.0,3.9,0.9,11,0.0,8.1,2.2
19,0,4.1,0,6.4,1.4,2.26,1.6,0,2,3,6,1.5999999999999996,5.5,2.2399999999999993,5,0.0,8.399999999999999,3.9
13,0,3.6,2,8.7,0.8,2.41,1.3,2,4,6,8,0.0,4.4,0.0,10,8.8,6.4,3.1000000000000005
18,1,1.2,1,6.4,1.3,3.03,1.0,2,5,9,10,1.5999999999999996,2.5,2.0799999999999996,14,5.0,13.0,1.5
19,1,5.3,1,4.7,2.8,2.82,0.3,0,1,9,6,3.3,8.1,9.239999999999998,10,0.0,16.799999999999997,7.8
15,1,5.3,0,7.3,1.9,2.51,1.4,0,10,4,2,0.7000000000000002,7.199999999999999,1.3300000000000003,14,0.0,3.8,5.799999999999999
16,1,4.9,1,6.8,1.0,3.18,1.9,0,7,4,8,1.2000000000000002,5.9,1.2000000000000002,11,0.0,8.0,4.0
18,0,1.7,1,8.5,1.0,3.32,1.3,1,1,1,7,0.0,2.7,0.0,2,2.7,7.0,1.4000000000000001
18,1,4.5,1,8.1,1.6,3.72,1.2,2,1,2,1,0.0,6.1,0.0,3,12.2,1.6,4.8999999999999995
14,1,5.0,0,4.3,1.1,3.8,0.4,1,9,4,10,3.7,6.1,4.07,13,6.1,11.0,5.699999999999999
19,1,1.5,2,5.8,1.1,3.29,1.7,0,6,4,2,2.2,2.6,2.4200000000000004,10,0.0,2.2,0.9000000000000001
14,0,4.4,0,7.3,2.7,3.3,1.1,2,2,1,9,0.7000000000000002,7.1000000000000005,1.8900000000000006,3,14.200000000000001,24.3,6.0
14,0,4.1,2,5.4,2.4,2.71,1.3,2,9,5,10,2.5999999999999996,6.5,6.239999999999999,14,13.0,24.0,5.2
18,1,2.5,1,4.2,1.4,3.9,0.7,0,5,2,3,3.8,3.9,5.319999999999999,7,0.0,4.199999999999999,3.2
13,1,1.1,2,7.1,1.8,2.55,0.8,0,5,5,10,0.9000000000000004,2.9000000000000004,1.6200000000000008,10,0.0,18.0,2.1000000000000005
14,0,1.2,2,8.5,2.3,3.91,1.8,0,1,8,1,0.0,3.5,0.0,9,0.0,2.3,1.7
14,0,2.0,1,4.7,1.1,2.51,0.0,0,2,9,4,3.3,3.1,3.63,11,0.0,4.4,3.1
18,0,2.4,1,6.3,1.3,3.05,1.7,2,2,9,5,1.7000000000000002,3.7,2.2100000000000004,11,7.4,6.5,2.0
19,0,1.5,1,8.4,3.0,2.46,1.5,0,1,7,6,0.0,4.5,0.0,8,0.0,18.0,3.0
13,0,7.1,0,6.5,1.6,2.03,0.3,1,1,10,6,1.5,8.7,2.4000000000000004,11,8.7,9.600000000000001,8.399999999999999
18,0,4.5,1,4.0,2.9,3.15,1.9,1,8,6,5,4.0,7.4,11.6,14,7.4,14.5,5.5
15,1,7.0,0,8.7,3.0,2.84,1.4,1,5,3,2,0.0,10.0,0.0,8,10.0,6.0,8.6
15,0,2.0,1,4.7,1.3,3.55,1.3,2,2,6,5,3.3,3.3,4.29,8,6.6,6.5,1.9999999999999998
19,0,2.4,1,4.2,1.2,3.87,1.3,2,1,9,5,3.8,3.5999999999999996,4.56,10,7.199999999999999,6.0,2.3
14,0,7.0,2,7.8,1.1,3.81,1.4,1,10,4,2,0.20000000000000018,8.1,0.22000000000000022,14,8.1,2.2,6.699999999999999
15,0,1.8,1,8.0,2.8,3.49,0.6,2,9,8,8,0.0,4.6,0.0,17,9.2,22.4,3.9999999999999996
19,0,4.3,1,5.9,2.1,2.85,1.7,0,9,9,8,2.0999999999999996,6.4,4.409999999999999,18,0.0,16.8,4.7
15,0,2.7,0,6.5,1.6,2.14,0.4,0,6,6,6,1.5,4.300000000000001,2.4000000000000004,12,0.0,9.600000000000001,3.900000000000001
13,1,5.3,1,6.0,1.0,2.92,0.7,0,3,8,5,2.0,6.3,2.0,11,0.0,5.0,5.6
13,0,7.2,1,8.1,2.1,2.52,0.4,1,3,3,7,0.0,9.3,0.0,6,9.3,14.700000000000001,8.9
14,1,5.6,0,4.5,1.4,2.44,1.2,2,5,10,9,3.5,7.0,4.8999999999999995,15,14.0,12.6,5.8
19,1,3.2,1,6.2,2.6,3.72,1.9,0,9,5,7,1.7999999999999998,5.800000000000001,4.68,14,0.0,18.2,3.900000000000001
19,1,7.0,1,8.9,2.8,2.84,0.4,0,6,8,6,0.0,9.8,0.0,14,0.0,16.799999999999997,9.4
17,1,6.7,1,7.6,2.4,3.59,0.4,1,9,5,5,0.40000000000000036,9.1,0.9600000000000009,14,9.1,12.0,8.7
14,0,4.4,0,4.2,2.6,2.28,1.3,1,8,10,4,3.8,7.0,9.879999999999999,18,7.0,10.4,5.7
17,1,3.8,0,5.7,2.0,3.01,1.0,2,1,3,1,2.3,5.8,4.6,4,11.6,2.0,4.8
13,1,5.9,1,8.0,2.8,3.21,1.6,1,2,8,8,0.0,8.7,0.0,10,8.7,22.4,7.1
13,0,3.5,2,5.2,2.5,2.57,1.1,0,1,6,3,2.8,6.0,7.0,7,0.0,7.5,4.9
19,0,6.7,1,7.3,2.8,2.26,1.4,0,7,6,8,0.7000000000000002,9.5,1.9600000000000004,13,0.0,22.4,8.1
16,0,4.2,2,6.3,1.2,3.72,1.9,2,5,3,7,1.7000000000000002,5.4,2.04,8,10.8,8.4,3.5000000000000004
18,0,2.3,1,8.7,0.6,2.76,1.9,0,4,8,7,0.0,2.9,0.0,12,0.0,4.2,1.0
17,0,6.6,0,8.0,1.9,2.86,0.4,1,4,8,5,0.0,8.5,0.0,12,8.5,9.5,8.1
17,0,6.7,1,4.3,0.6,3.76,0.0,2,2,1,7,3.7,7.3,2.22,3,14.6,4.2,7.3
14,0,1.3,2,7.5,1.4,3.85,1.6,1,10,8,7,0.5,2.7,0.7,18,2.7,9.799999999999999,1.1
17,1,2.0,0,4.5,1.7,2.65,0.0,1,9,4,2,3.5,3.7,5.95,13,3.7,3.4,3.7
14,1,3.4,1,4.6,2.0,2.27,1.9,0,7,10,6,3.4000000000000004,5.4,6.800000000000001,17,0.0,12.0,3.5000000000000004
19,0,4.2,1,7.1,2.5,3.91,1.5,0,6,8,9,0.9000000000000004,6.7,2.250000000000001,14,0.0,22.5,5.2
15,0,4.5,0,5.4,1.2,3.76,1.7,0,1,8,7,2.5999999999999996,5.7,3.1199999999999997,9,0.0,8.4,4.0
19,0,1.9,0,6.2,0.9,2.47,1.4,2,5,6,7,1.7999999999999998,2.8,1.6199999999999999,11,5.6,6.3,1.4
